FID,access,bridge,from_,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,tunnel,width,out_pgh,river_bge
11456, , ,104844938,unclassified, ,0, ,160.839, ,Meade Street,False,11712484, , ,104844930, , ,1,0
11457, , ,105705713,residential, ,0, ,52.437, ,North Trenton Avenue,False,11807182, , ,104844930, , ,1,0
11458, , ,105705711,residential, ,0, ,110.223, ,North Trenton Avenue,False,11807182, , ,104844930, , ,1,0
11459, , ,104845572,service, ,0, ,150.34199999999998, ,Hough Way,False,11712549, , ,104845567, , ,0,0
11460, , ,105930323,service, ,0, ,52.383, ,Canter Way,False,11826650, ,alley,104845572, , ,0,0
11461, , ,105729425,tertiary, ,0, ,54.888, ,Southern Avenue,False,169669669, , ,104845586, , ,0,0
11462, , ,105863821,"['residential', 'service']", ,0, ,122.62, ,"['Weinman Street', 'Lena Way']",False,"[11954676, 11712551]", , ,104845586, , ,0,0
11463, , ,104946207,tertiary, ,0, ,303.517, ,Southern Avenue,False,169669669, , ,104845586, , ,0,0
11464, , ,2608863916,residential, ,0, ,19.570999999999998, ,Weinman Street,False,11963638, , ,104845616, , ,1,0
11465, , ,1767557417,residential, ,0, ,21.004, ,Princeton Boulevard,False,255157387, , ,104845616, , ,1,0
11466, , ,105913579,residential, ,0, ,76.433, ,Bessica Street,False,11948039, , ,104845622, , ,1,0
11467, , ,105032566,residential, ,0, ,64.739, ,Weinman Street,False,11712555, , ,104845622, , ,1,0
11468, , ,2608863916,residential, ,0, ,144.317, ,Weinman Street,False,11712555, , ,104845622, , ,1,0
11469, , ,105188975,tertiary, ,0, ,492.3669999999999, ,"['Desdemona Avenue', 'Imogene Road']",False,"[11833449, 11712653]", , ,104846704, , ,0,0
11470, , ,1256617316,residential, ,0, ,184.57199999999997, ,Desdemona Avenue,False,268858121, , ,104846704, , ,0,0
11471, , ,3637886789,tertiary, ,0, ,495.215, ,Johnston Avenue,False,"[302191274, 11747731, 292849462]", , ,104846704, , ,0,0
11472, , ,104847541,residential, ,0, ,215.138, ,Cobb Avenue,False,11712685, , ,104847534, , ,1,0
11473, , ,105972731,residential, ,0, ,97.5, ,Greenwood Avenue,False,273286649, , ,104847534, , ,1,0
11474, , ,106029217,residential, ,0, ,54.132, ,Greenwood Avenue,False,273286649, , ,104847534, , ,1,0
11475, , ,105073402,residential, ,0, ,49.562, ,Valois Avenue,False,11735557, , ,104847541, , ,1,0
11476, , ,105073395,residential, ,0, ,100.428, ,Valois Avenue,False,11735557, , ,104847541, , ,1,0
11477, , ,104847640,residential, ,0, ,93.597, ,Moultrie Street,False,11824017, , ,104847605, , ,0,0
11478, , ,104847640,service, ,1, ,169.84199999999998, ,Orr Street,False,11712693, , ,104847605, , ,0,0
11479, , ,105097439,residential, ,0, ,50.068, ,Moultrie Street,False,11824017, , ,104847605, , ,0,0
11480, , ,105887450,residential, ,0, ,13.833, ,Moultrie Street,False,11824017, , ,104847640, , ,0,0
11481, , ,2610385346,residential, ,0, ,7.245, ,Center Street,False,11712715, , ,104847811, , ,1,0
11482, , ,104847833,residential, ,0, ,95.92, ,Center Street,False,165328524, , ,104847825, , ,1,0
11483, , ,2610385346,residential, ,0, ,43.734, ,Center Street,False,11712715, , ,104847825, , ,1,0
11484, , ,105863877,residential, ,0, ,99.58, ,Rebecca Avenue,True,11946594, , ,104847825, , ,1,0
11485, , ,104847833,residential, ,0, ,129.778, ,Franklin Avenue,True,11821646, , ,105796430, , ,1,0
11486, , ,104847842,residential, ,0, ,47.279, ,Center Street,False,165328524, , ,104847833, , ,1,0
11487, , ,105742903,residential, ,0, ,110.817, ,Franklin Avenue,True,11821646, , ,104847833, , ,1,0
11488, , ,107627693,service, ,0, ,78.469, ,Bryan Way,False,11955131, ,alley,104847842, , ,1,0
11489, , ,105742906,service, ,0, ,111.912, ,Bryan Way,False,11955131, ,alley,104847842, , ,1,0
11490, , ,104847853,residential, ,0, ,45.594, ,Center Street,False,165328524, , ,104847842, , ,1,0
11491, , ,104847867,residential, ,0, ,97.984, ,Center Street,False,165328524, , ,104847853, , ,1,0
11492, , ,104977819,tertiary, ,0, ,63.133, ,South Avenue,False,165828166, , ,104847853, , ,1,0
11493, , ,104977807,tertiary, ,0, ,130.591, ,South Avenue,False,165828166, , ,104847853, , ,1,0
11494, , ,104847867,residential, ,0,1,61.766, ,Ross Avenue,True,11960708, , ,105122699, , ,1,0
11495, , ,4572563352,residential, ,0, ,49.617, ,Center Street,False,165328524, , ,104847867, , ,1,0
11496, , ,2610385395,residential, ,0,1,211.883, ,Ross Avenue,True,11960708, , ,104847867, , ,1,0
11497, , ,104847924,residential, ,0, ,95.032, ,Center Street,False,165328524, , ,104847914, , ,1,0
11498, , ,4572563353,residential, ,0, ,49.216, ,Center Street,False,165328524, , ,104847914, , ,1,0
11499, , ,104847914,residential, ,0, ,128.11, ,Wallace Avenue,True,227564521, , ,105796320, , ,1,0
11500, , ,105742930,residential, ,0, ,110.901, ,Wallace Avenue,True,227564521, , ,104847914, , ,1,0
11501, , ,104847924,residential, ,0, ,110.075, ,North Avenue,True,227569076, , ,105742941, , ,1,0
11502, , ,105796328,residential, ,0, ,129.102, ,North Avenue,True,227569076, , ,104847924, , ,1,0
11503, , ,104900193,residential, ,0, ,112.277, ,Glenn Avenue,False,11717481, , ,104847934, , ,1,0
11504, , ,104900182,residential, ,0, ,129.805, ,Glenn Avenue,False,11717481, , ,104847934, , ,1,0
11505, , ,104847942,residential, ,0, ,125.881, ,Center Street,False,165328524, , ,104847934, , ,1,0
11506, , ,104847947,residential, ,0, ,138.542, ,Center Street,False,165328518, , ,104847942, , ,1,0
11507, , ,105859376,"['residential', 'service']", ,0, ,200.469, ,"['Foliage Street', 'Grant Way']",False,"[11831693, 11822406]", , ,104847942, , ,1,0
11508, , ,105122684,residential, ,0, ,32.24, ,Ewing Street,False,11841169, , ,104847947, , ,1,0
11509, , ,105859376,residential, ,0, ,69.444, ,Ewing Street,False,11841169, , ,104847947, , ,1,0
11510, , ,104847956,residential, ,0, ,146.746, ,Center Street,False,165328518, , ,104847947, , ,1,0
11511, , ,105122677,residential, ,0, ,46.712, ,McKee Street,False,165026134, , ,104847956, , ,1,0
11512, , ,106013487,residential, ,0, ,51.883, ,McKee Street,False,165026134, , ,104847956, , ,1,0
11513, , ,104847997,secondary, ,0, ,114.53, ,Center Street,False,510497561,Blue Belt, ,104847971, , ,1,0
11514, , ,104847971,secondary, ,0, ,92.23700000000001, ,Cross Street,True,11839464,Blue Belt, ,105166026, , ,1,0
11515, , ,104890499,secondary, ,0, ,266.24, ,Union Avenue,True,54287025,Blue Belt, ,104847971, , ,1,0
11516, , ,105684374,residential, ,0, ,55.27, ,Valley Street,False,11804241, , ,104847997, , ,1,0
11517, , ,104848003,secondary, ,0, ,103.163, ,Center Street,False,510497561,Blue Belt, ,104847997, , ,1,0
11518, , ,106029391,residential, ,0, ,54.772, ,Champman Street,False,11834145, , ,104848003, , ,1,0
11519, , ,104848015,secondary, ,0, ,60.386, ,Center Street,False,510497561,Blue Belt, ,104848003, , ,1,0
11520, , ,105027896,residential, ,0, ,52.907, ,Leslie Street,False,11730760, , ,104848015, , ,1,0
11521, , ,104848029,secondary, ,0, ,64.435, ,Center Street,False,510497561,Blue Belt, ,104848015, , ,1,0
11522, , ,104976235,residential, ,0, ,86.94, ,Hodgson Avenue,False,"[11746145, 510497553]", , ,104848029, , ,1,0
11523, , ,105174047,residential, ,0, ,80.47500000000001, ,Hodgson Avenue,False,510497559, , ,104848029, , ,1,0
11524, , ,4990031767,secondary, ,0, ,49.830000000000005, ,Center Street,False,11712723,Blue Belt, ,104848036, , ,1,0
11525, , ,105837199,service, ,0, ,175.003, ,Ochiltree Way,False,"[11820763, 510497550]", ,alley,104848036, , ,1,0
11526, , ,104882930,residential, ,0, ,61.895, ,Mainsgate Street,False,11715817, , ,104848074, , ,1,0
11527, , ,104882919,residential, ,0, ,90.23, ,Mainsgate Street,False,11715817, , ,104848074, , ,1,0
11528, , ,104848089,secondary, ,0, ,160.418, ,Center Street,False,54583016,Blue Belt, ,104848074, , ,1,0
11529, , ,105252530,tertiary, ,0, ,53.992, ,Berry Street,False,510498855, , ,104848089, , ,0,0
11530, , ,105907891,secondary, ,0, ,1036.42, ,Windgap Avenue,False,"[11828322, 510498859, 510498853]",Blue Belt, ,104848089, , ,0,0
11531, , ,105252542,tertiary, ,0, ,94.57400000000001, ,Berry Street,False,510498871, , ,104848089, , ,1,0
11532, , ,105115858,residential, ,0, ,169.38, ,Orchard Street,True,11837801, , ,104848219, , ,1,0
11533, , ,104848229,residential, ,0, ,169.385, ,Ohio Street,True,11826851, , ,105115862, , ,1,0
11534, ,yes,105782018,tertiary, ,0, ,81.925, ,"['Washington Street', 'Washington Avenue']",False,"[54571616, 11744324]", , ,104849393, , ,1,0
11535, , ,5047189752,residential, ,0, ,2.559, ,Owens Street,False,11963933, , ,104849495, , ,1,0
11536, , ,105985653,residential, ,0, ,38.024, ,Owens Street,False,11963933, , ,104849495, , ,1,0
11537, , ,104849502,residential, ,0, ,97.554, ,Center Street,False,11712842, , ,104849495, , ,1,0
11538, , ,104849660,residential, ,0, ,69.004, ,Cherry Street,False,11809747, , ,104849624, , ,1,0
11539, , ,104849624,residential, ,0, ,144.184, ,"['Sycamore Street', 'Center Street']",True,"[11712856, 376174035]", , ,104944517, , ,1,0
11540, , ,105992196,tertiary, ,0,2,33.139, ,Butler Street,False,386884632, , ,104849654, , ,1,0
11541, , ,837156954,tertiary, ,0,2,71.634, ,Butler Street,False,386884632, , ,104849654, , ,1,0
11542, , ,104944505,residential, ,0, ,41.407, ,Cherry Street,False,11809747, , ,104849660, , ,1,0
11543, , ,104849955,residential, ,0, ,171.162, ,Belmont Lane,False,11712890, , ,104849947, , ,1,0
11544, , ,106088239,residential, ,0, ,195.32899999999998, ,Duncan Lane,False,11837639, , ,104849947, , ,1,0
11545, , ,104850068,residential, ,0, ,216.874, ,Milan Avenue,False,11807654, , ,104850050, , ,0,0
11546, , ,104850068,residential, ,1, ,279.92900000000003, ,Roswin Drive,False,11712901, , ,104850050, , ,0,0
