Source,Target,Type,Id,bridge,required,out_boundary,distance
271200282,1242800370,Directed,40890,1,0,0,100.086
271200287,271200282,Directed,40891,1,0,0,87.478
271200496,4568365578,Directed,40896,1,0,0,192.66
271203168,683770814,Directed,40920,1,0,0,388.255
271203753,683770814,Directed,40923,1,0,0,337.068
276563300,693460625,Directed,41017,1,0,0,214.001
302964529,105013396,Directed,41228,1,0,0,205.893
302979820,686488758,Directed,41254,1,0,0,192.533
312086895,312087388,Directed,41280,1,0,0,562.005
312087388,685067222,Directed,41281,1,0,0,588.94
312087388,5002172269,Directed,41282,1,0,0,635.025
312093484,5309157589,Directed,41285,1,0,1,486.324
312093484,683644067,Directed,41286,1,0,1,697.935
315295698,339260713,Directed,41304,1,0,0,310.322
315295698,5317313740,Directed,41305,1,0,0,217.683
315507545,104705613,Directed,41306,1,0,0,184.395
339254969,1519280055,Directed,41366,1,0,0,453.177
339255251,339254969,Directed,41376,1,0,0,158.348
339256049,339256398,Directed,41389,1,0,0,480.202
339256398,684828150,Directed,41393,1,0,0,419.129
339260713,686445550,Directed,41406,1,0,0,1130.621
339261144,5317314131,Directed,41407,1,0,0,700.641
339261144,5317313732,Directed,41408,1,0,0,470.809
339262254,5317313681,Directed,41415,1,0,0,430.978
357626415,1025849742,Directed,41455,1,0,0,47.23
377130232,104677473,Directed,41463,1,0,0,340.719
393223018,105026833,Directed,41471,1,0,0,216.89
454957294,687157702,Directed,41631,1,0,1,143.085
454957294,1370793639,Directed,41632,1,0,1,180.004
454961367,104646944,Directed,41637,1,0,0,191.011
517880053,1025849748,Directed,41715,1,0,0,1321.566
532136266,2632056364,Directed,41756,1,0,1,124.561
572065275,572065289,Directed,41816,1,0,0,275.543
653107730,685065465,Directed,41846,1,0,0,628.181
665550120,683730063,Directed,41949,1,0,0,181.227
665550120,665550129,Directed,41950,1,0,0,576.586
665550144,5312910219,Directed,41952,1,0,0,186.519
665550144,105116541,Directed,41953,1,0,0,25.158
665550144,5312910301,Directed,41954,1,0,0,53.926
675647429,906438723,Directed,41957,1,0,0,5459.482
675647587,686151475,Directed,41958,1,0,0,1441.039
675670137,5000839630,Directed,41959,1,0,0,433.13
683600895,5309157481,Directed,41968,1,0,1,217.45
683643817,5309157416,Directed,41976,1,0,1,400.672
683644067,5309157387,Directed,41980,1,0,1,227.748
683644067,5309157400,Directed,41981,1,0,1,298.784
683653476,5309157195,Directed,41985,1,0,1,427.545
683653560,5309156825,Directed,41988,1,0,1,134.369
683661209,683661112,Directed,41998,1,0,0,436.808
683700266,5312910743,Directed,42005,1,0,0,147.546
