Source,Target,Type,Id,Label,distance
3,2,Undirected,12773,"['Windgap Avenue', 'Wind Gap Bridge']",331.927
2,2,Undirected,12916,Radcliffe Street,59.3
0,26,Undirected,13103,,456.603
0,101,Undirected,13104,,405.608
0,0,Undirected,13110,Perrysville Avenue,181.064
0,6,Undirected,13138,PA 65,1504.129
101,0,Undirected,13143,US 19,83.126
0,133,Undirected,13165,Ohio River Boulevard,1243.72
2,2,Undirected,13231,,719.511
0,166,Undirected,13286,,54.448
2,3,Undirected,13354,Mansfield Boulevard,151.803
2,2,Undirected,13417,Greentree Road,74.597
2,2,Undirected,13517,Penn-Lincoln Parkway West,113.887
2,2,Undirected,13553,Penn-Lincoln Parkway West,737.49
2,2,Undirected,13558,Penn-Lincoln Parkway West,2276.77
2,2,Undirected,13610,,371.94
2,2,Undirected,13620,Penn-Lincoln Parkway West,2477.609
2,3,Undirected,13626,Penn-Lincoln Parkway West,896.03
103,104,Undirected,13659,,217.45
104,3,Undirected,13737,,705.958
0,105,Undirected,13747,,240.877
105,0,Undirected,13751,,371.613
3,3,Undirected,13784,,325.819
0,0,Undirected,13846,Milroy Street,330.085
2,40,Undirected,13857,Birmingham Bridge,572.087
106,5,Undirected,13862,Noble Street,310.264
2,2,Undirected,14052,Mifflin Road,507.487
2,2,Undirected,14068,Bell Avenue,317.911
107,1,Undirected,14322,Penn-Lincoln Parkway East,570.86
107,1,Undirected,14323,,345.609
0,0,Undirected,14628,"['Lincoln Avenue', 'California Avenue']",280.498
62,3,Undirected,14637,Penn-Lincoln Parkway West,775.201
108,1,Undirected,14891,,641.323
108,150,Undirected,14892,Penn-Lincoln Parkway East,706.7
0,0,Undirected,14904,Bellevue Road,261.84
3,110,Undirected,14956,,149.341
3,2,Undirected,14960,West Carson Street,98.317
3,109,Undirected,14969,McKees Rocks Bridge,31.877
3,110,Undirected,14970,McKees Rocks Bridge,351.952
109,149,Undirected,14976,McKees Rocks Bridge,1090.831
110,3,Undirected,14981,McKees Rocks Bridge,191.455
110,3,Undirected,14982,,148.966
1,1,Undirected,14987,Forward Avenue,283.516
3,109,Undirected,14989,,232.631
2,2,Undirected,15014,Grove Road,87.798
2,124,Undirected,15135,Terminal Street,227.835
2,2,Undirected,15608,Liberty Tunnels,1856.65
2,2,Undirected,15748,Crafton Boulevard,68.69
111,141,Undirected,15891,Penn-Lincoln Parkway East,605.483
111,1,Undirected,15892,,553.535
1,1,Undirected,16045,Lincoln Avenue,202.876
1,1,Undirected,16115,South Highland Avenue,211.361
2,2,Undirected,16309,Chestnut Street,79.481
1,134,Undirected,16458,Bloomfield Bridge,148.863
1,1,Undirected,16624,Forbes Avenue,481.646
4,167,Undirected,16650,Fox Chapel Road,309.414
3,99,Undirected,16678,,1332.741
3,48,Undirected,16679,,1140.155
3,119,Undirected,16710,Penn-Lincoln Parkway West,1318.116
0,0,Undirected,16843,Sheridan Street,65.639
112,7,Undirected,16904,Fleetwood Manor Road,114.786
0,0,Undirected,16941,Evergreen Avenue,111.974
1,1,Undirected,17352,Herron Avenue,280.34
2,153,Undirected,17584,Timberland Avenue,188.899
3,2,Undirected,17697,Mansfield Boulevard,156.044
1,1,Undirected,17854,,459.11
1,1,Undirected,17926,Penn-Lincoln Parkway East,2844.037
3,3,Undirected,18082,"['Chartiers Street', 'Campbells Run Road']",1620.256
2,2,Undirected,18407,McNeilly Road,467.574
1,0,Undirected,18500,40th Street Bridge,826.575
2,2,Undirected,18505,Library Road,661.972
1,1,Undirected,18564,Panther Hollow Road,107.396
113,128,Undirected,18889,Penn-Lincoln Parkway North,147.546
114,24,Undirected,18901,,88.021
114,21,Undirected,18902,I 279,93.353
2,116,Undirected,18962,,425.077
115,168,Undirected,18970,Penn-Lincoln Parkway West,212.04
116,117,Undirected,18999,Penn-Lincoln Parkway West,212.047
117,118,Undirected,19000,Penn-Lincoln Parkway North,48.987
117,1,Undirected,19001,Penn-Lincoln Parkway East,864.182
118,1,Undirected,19002,,151.981
118,114,Undirected,19003,Penn-Lincoln Parkway North,198.947
2,2,Undirected,19095,"['E Waterfront Drive', 'Waterfront Drive East']",2550.425
1,1,Undirected,19535,Centre Avenue,268.936
3,3,Undirected,19638,Raymond P Shafer Highway,1067.027
4,4,Undirected,19730,Freeport Road,521.114
12,0,Undirected,19816,McKnight Road,868.433
1,41,Undirected,20441,62nd Street Bridge,27.275
2,2,Undirected,20604,Center Street,67.215
120,165,Undirected,20977,Fort Pitt Boulevard,181.227
120,1,Undirected,20978,,576.586
121,1,Undirected,21000,Fort Pitt Boulevard,186.519
121,1,Undirected,21001,Smithfield Street,25.158
121,126,Undirected,21002,Smithfield Street,53.926
1,135,Undirected,21467,Bigelow Boulevard,2519.651
0,0,Undirected,21662,Pennsylvania Avenue,312.447
1,122,Undirected,21727,,340.147
122,92,Undirected,21732,,27.117
1,1,Undirected,21735,,131.352
1,122,Undirected,21736,,341.578
1,0,Undirected,21799,"['Anderson Street', 'Rachel Carson Bridge', '9th Street']",352.459
1,0,Undirected,21809,"['6th Street', 'Federal Street', 'Roberto Clemente Bridge']",396.627
1,1,Undirected,22052,Fort Duquesne Boulevard,30.045
2,2,Undirected,22123,Saw Mill Run Boulevard,270.947
2,2,Undirected,22227,Killarney Drive,251.381
1,1,Undirected,22286,Edgewood Avenue,235.634
123,2,Undirected,22325,Smithfield Street,154.669
123,2,Undirected,22326,Smithfield Street,155.728
2,2,Undirected,22356,Provost Road,71.475
0,0,Undirected,23600,Sherman Street,55.697
0,1,Undirected,23710,Restricted Lane,2026.125
0,0,Undirected,23861,Parkway North,1441.039
2,2,Undirected,23929,Ramp Street,53.208
63,22,Undirected,24198,Dewey Street,28.435
125,164,Undirected,24399,Fort Pitt Boulevard,25.144
125,1,Undirected,24400,,32.487
1,108,Undirected,24429,Penn-Lincoln Parkway East,1753.184
1,111,Undirected,24437,Penn-Lincoln Parkway East,297.665
111,1,Undirected,24442,,145.657
2,2,Undirected,24457,,400.672
126,123,Undirected,24469,Smithfield Street,338.048
1,1,Undirected,24518,,436.08
1,1,Undirected,24537,Butler Street,178.969
1,21,Undirected,24634,,304.146
127,2,Undirected,24639,,227.748
127,2,Undirected,24640,Penn-Lincoln Parkway West,298.784
1,1,Undirected,24725,South Negley Avenue,307.403
128,115,Undirected,24783,Penn-Lincoln Parkway North,19.714
8,22,Undirected,24804,Grant Avenue,110.317
129,2,Undirected,25096,Rankin Bridge,35.172
129,2,Undirected,25097,,216.355
2,2,Undirected,25166,Oakwood Road,151.794
119,48,Undirected,25722,I 79,662.736
130,3,Undirected,25751,,870.749
130,119,Undirected,25752,I 79,666.247
132,1,Undirected,25984,Bloomfield Bridge,453.177
1,132,Undirected,26142,,168.442
1,132,Undirected,26146,Bloomfield Bridge,158.348
2,2,Undirected,26309,East Prospect Avenue,48.732
133,0,Undirected,26438,Ohio River Boulevard,628.181
1,1,Undirected,26531,South Braddock Avenue,157.004
