X,Y,id,modularity,hood_no,hood
590224.0755,4482163.685,107498803,35,79,Stanton Heights
590514.3729,4480692.109,5467624934,35,79,Stanton Heights
590484.107,4480723.495,5467624941,35,79,Stanton Heights
589861.8132,4481305.88,106060182,35,79,Stanton Heights
589848.3802,4481251.186,104947726,35,79,Stanton Heights
589687.698,4481295.364,104947747,35,79,Stanton Heights
589865.8742,4481686.9,104947772,35,79,Stanton Heights
589996.4308,4481645.439,104947789,35,79,Stanton Heights
590352.5583,4481415.527,104947829,35,79,Stanton Heights
589840.2822,4481091.8,104947851,35,79,Stanton Heights
589845.7023,4481208.745,104947858,35,79,Stanton Heights
590716.164,4482420.985,104494794,35,79,Stanton Heights
590730.4592,4482403.895,104494805,35,79,Stanton Heights
589724.207,4482082.967,107708185,35,79,Stanton Heights
589573.3368,4481627.892,106072849,35,79,Stanton Heights
589364.978,4481400.477,1252101848,35,79,Stanton Heights
590029.98,4480936.423,104566492,35,79,Stanton Heights
590067.3256,4481045.604,104566517,35,79,Stanton Heights
590185.4729,4481393.128,104566543,35,79,Stanton Heights
590213.354,4481494.491,104566552,35,79,Stanton Heights
590245.3114,4481565.673,104566569,35,79,Stanton Heights
590286.3895,4481646.013,104566588,35,79,Stanton Heights
589090.1932,4481363.694,105944466,35,79,Stanton Heights
589096.506,4481376.758,105944477,35,79,Stanton Heights
589403.1218,4481755.525,105944501,35,79,Stanton Heights
590384.7948,4481232.003,106075898,35,79,Stanton Heights
590513.1943,4482052.73,104372862,35,79,Stanton Heights
590170.8626,4481771.747,3159073446,35,79,Stanton Heights
590275.1519,4481649.253,104706360,35,79,Stanton Heights
589306.5803,4481652.912,105691950,35,79,Stanton Heights
589394.7585,4481562.298,105691956,35,79,Stanton Heights
589425.6728,4481534.857,105691962,35,79,Stanton Heights
590598.6905,4482170.39,105888678,35,79,Stanton Heights
590685.9694,4482293.203,105888705,35,79,Stanton Heights
589860.4457,4482198.663,104250447,35,79,Stanton Heights
590083.4063,4481711.72,104645429,35,79,Stanton Heights
590301.6752,4482124.755,104645449,35,79,Stanton Heights
590424.2512,4482297.039,104645478,35,79,Stanton Heights
590021.6064,4482259.008,106022854,35,79,Stanton Heights
