FID,highway,lat,lon,osmid,ref,out_pgh,river_bge,ngh_name
9976, ,40.4491181,-79.9714453,105715871, ,0,0,Middle Hill
9977, ,40.4746009,-79.9613089,105716117, ,0,0,Central Lawrenceville
9978, ,40.4740766,-79.9605611,105716128, ,0,0,Central Lawrenceville
9979, ,40.4730683,-79.9591882,105716138, ,0,0,Central Lawrenceville
9980, ,40.4728078,-79.9587932,105716147, ,0,0,Central Lawrenceville
9981, ,40.4711372,-79.9564817,105716152, ,0,0,Central Lawrenceville
9982, ,40.4703798,-79.9553911,105716163, ,0,0,Central Lawrenceville
9983, ,40.4288115,-80.0491099,105716221, ,0,0,Westwood
9984, ,40.4449305,-80.0407325,105717384, ,0,0,Elliott
9985, ,40.445199,-80.0410458,105717392, ,0,0,Elliott
9986, ,40.4463342,-80.04298,105717400, ,0,0,Elliott
9987, ,40.3926173,-80.0255857,105717985, ,0,0,Brookline
9988, ,40.3903404,-80.0224854,105717992, ,0,0,Brookline
9989, ,40.3888434,-80.020429,105717999, ,0,0,Brookline
9990, ,40.3879078,-80.0190506,105718016, ,0,0,Brookline
9991, ,40.3981067,-79.9699505,105718097, ,1,0,
9992, ,40.4748099,-80.0319038,105718208, ,0,0,Marshall-Shadeland
9993, ,40.4748947,-80.0326968,105718212, ,0,0,Marshall-Shadeland
9994, ,40.4745401,-80.0329312,105718234, ,0,0,Marshall-Shadeland
9995, ,40.4765739,-80.0351077,105718294, ,0,0,Brighton Heights
9996,traffic_signals,40.4900348,-79.9054279,105718612, ,1,0,
9997, ,40.4915121,-79.9047308,105718618, ,1,0,
9998, ,40.492889,-79.9040769,105718621, ,1,0,
9999, ,40.4983071,-79.903684,105718642, ,1,0,
10000, ,40.3828122,-79.9019094,105718660, ,1,0,
10001, ,40.4141119,-80.0908654,105719122, ,1,0,
10002, ,40.4150815,-80.0914078,105719139, ,1,0,
10003, ,40.4172237,-80.0926094,105719144, ,1,0,
10004,traffic_signals,40.4604171,-79.9136979,105720398, ,0,0,Larimer
10005, ,40.4612334,-79.9125285,105720406, ,0,0,Larimer
10006, ,40.4617068,-79.9118204,105720413, ,0,0,Larimer
10007, ,40.4619517,-79.9114449,105720422, ,0,0,Larimer
10008, ,40.4628455,-79.9101198,105720432, ,0,0,Larimer
10009, ,40.463488,-79.9091741,105720437, ,0,0,Larimer
10010, ,40.464234,-79.9080395,105720446, ,0,0,Larimer
10011, ,40.3905554,-80.02462,105720462, ,0,0,Brookline
10012, ,40.3901511,-80.0251352,105720477, ,0,0,
10013, ,40.460668,-80.052776,105720567, ,0,0,Sheraden
10014, ,40.4685681,-79.9822835,105720632, ,0,0,Troy Hill
10015, ,40.4019972,-79.9075009,105720648, ,1,0,
