name,lat,lon,label,component
104195546,40.3805052,-79.90303,,1
104195551,40.3801293,-79.904296,,1
104195559,40.3788222,-79.9049766,,1
104195565,40.3805543,-79.9072679,,1
104195578,40.380029,-79.90777,,1
104195588,40.379989,-79.907588,,1
104195597,40.3795713,-79.9079233,,1
104195606,40.3786547,-79.9086036,,1
104195623,40.4712751,-79.9419388,,1
104195632,40.4709239,-79.9421989,,1
104195640,40.4708147,-79.9422055,,1
104195648,40.4704981,-79.9420589,,1
104195667,40.4440628,-79.8915635,,1
104195673,40.4436488,-79.8917162,,1
104195684,40.4432033,-79.89185,,1
104195687,40.4426809,-79.8918225,,1
105109475,40.4425,-79.8911476,,1
104195844,40.394587,-79.9160868,,1
2611572102,40.3948779,-79.9156804,,1
104195856,40.3949105,-79.9156293,,1
104195865,40.395061,-79.9154308,,1
104196599,40.4856991,-79.9248067,,1
104196608,40.4854013,-79.9251501,,1
104196616,40.4851524,-79.9254773,,1
104196932,40.4609327,-79.991845,,1
104196939,40.46102,-79.9913742,,1
104196946,40.4666386,-79.9898807,,1
104196955,40.4667297,-79.9893728,,1
104196960,40.4668114,-79.9889258,,1
104196966,40.4668275,-79.9888332,,1
104197108,40.368026,-79.9889425,,1
104197117,40.3684727,-79.9891815,,1
313855505,40.4843901,-79.9048687,,1
693260480,40.4842787,-79.9049013,,1
2191987971,40.4842561,-79.9049464,,1
104197719,40.4842489,-79.9050373,,1
2191987972,40.4842835,-79.905274,,1
104197728,40.4844232,-79.9061263,,1
104197731,40.4845169,-79.9067911,,1
104197755,40.4845342,-79.9070847,,1
2191987974,40.4845198,-79.9072987,,1
104197780,40.4844866,-79.9075222,,1
104197803,40.4844333,-79.907759,,1
271197242,40.4465957,-80.0139841,,1
5406319183,40.4466166,-80.0138711,,1
2342942972,40.446676,-80.0135274,,1
2421552958,40.4468401,-80.0126147,,1
1687214263,40.4469384,-80.0120685,,1
5391552722,40.4469577,-80.0119672,,1
5391552725,40.4472418,-80.0103924,,1
271197243,40.4472601,-80.0102783,,1
104197895,40.4870032,-79.9141957,,1
104197907,40.486281,-79.911626,,1
104197915,40.48551,-79.909323,,1
104197925,40.4850542,-79.9079768,,1
104197930,40.4850067,-79.9078537,,1
2191987981,40.4849721,-79.9078063,,1
2191987980,40.4849361,-79.9077798,,1
2191987979,40.4848857,-79.9077817,,1
2191987978,40.4848456,-79.9077977,,1
104197938,40.4847358,-79.9078253,,1
2191987975,40.4845918,-79.9078177,,1
104198588,40.4368354,-79.9546421,,1
104198595,40.4373203,-79.9541349,,1
1685862835,40.4375713,-79.9538862,,1
3401237453,40.4272738,-79.9500556,,1
3353332516,40.4275901,-79.9497165,,1
104198851,40.4279981,-79.9492713,,1
104198857,40.4282209,-79.9492515,,1
104199043,40.4921833,-79.8812717,,1
3331248257,40.4926867,-79.8809531,,1
104199101,40.4878574,-79.8867508,,1
5372780192,40.4878578,-79.8869235,,1
5372780191,40.4878582,-79.8871196,,1
5372780188,40.4878587,-79.8873239,,1
5372780187,40.4878591,-79.8875236,,1
5372780184,40.4878595,-79.8877267,,1
5372780183,40.48786,-79.8879252,,1
104199113,40.4878604,-79.8881241,,1
5372780180,40.4878429,-79.8882708,,1
2629521683,40.4878318,-79.888369,,1
5372780177,40.4878189,-79.88849,,1
2625614493,40.4878156,-79.8885274,Waterworks Mall at Walmart,1
5372780176,40.487842,-79.8886799,,1
5372780174,40.4878771,-79.8888819,,1
5372780173,40.4879113,-79.8890792,,1
5372780170,40.4879456,-79.889277,,1
5372780169,40.4879788,-79.8894689,,1
2625614496,40.4879908,-79.8895379,,1
2629521660,40.4880453,-79.8896662,,1
5171799983,40.4880868,-79.8897325,Waterworks Mall opp Walmart,1
5372790864,40.4881305,-79.8898025,,1
2625614499,40.4882177,-79.889942,,1
5372790865,40.4882293,-79.8899743,,1
2625614502,40.4882378,-79.8899981,,1
5171799984,40.4882849,-79.8901663,,1
5372790868,40.4883385,-79.8903575,,1
5372790870,40.4883902,-79.8905415,,1
5372790871,40.4884436,-79.8907318,,1
5372790874,40.4884956,-79.8909173,,1
5372790875,40.4885492,-79.8911082,,1
5372790878,40.4886028,-79.8912994,,1
2629521677,40.4886487,-79.8914628,,1
3355368961,40.4887028,-79.8916588,,1
5171799989,40.4887679,-79.8918945,Waterworks Mall at Marshalls,1
2625614504,40.4890454,-79.8928987,,1
2625614505,40.4890519,-79.89293,,1
2625614507,40.4890478,-79.8929605,,1
3355368967,40.4889776,-79.8931599,,1
104199092,40.4878351,-79.8853026,,1
5372801879,40.4880535,-79.8853051,,1
5372801877,40.4882281,-79.8853071,,1
5372801875,40.4884015,-79.8853091,,1
