Source,Target,Type,Id,Label,timeset,Weight,junction,access,service,tunnel,maxspeed,bridge,ref,osmid,oneway,name,distance,lanes,highway,geometry,bridge-size
1,2,Undirected,2351,"['Glenwood Bridge', 'Second Avenue']",,10,,,,,25 mph,yes,PA 885,"[54684097, 54684098, 11832975, 54684111, 54684114]",TRUE,"['Glenwood Bridge', 'Second Avenue']",1114.761,,primary,"LINESTRING (590152.6273515177 4472703.234013089, 590164.6913142913 4472700.83672559, 590176.6421082793 4472699.38174169, 590248.5708006335 4472695.328748419, 590260.5190856513 4472694.084799661, 590272.5928612227 4472692.287294608, 590283.6132112388 4472688.45661851, 590294.3466392932 4472681.669449711, 590301.7695923907 4472674.209644544, 590306.1178058028 4472666.235455388, 590310.6821259209 4472651.591742839, 590313.9236766958 4472629.793707477, 590316.8690931551 4472605.805071499, 590326.889676792 4472517.256379918, 590348.3727529634 4472316.329956265, 590365.5928513677 4472168.496130122, 590384.6446669593 4471991.964324359, 590392.9826535569 4471923.411857978, 590395.3527031876 4471902.125147878, 590411.7225449736 4471762.285553349, 590416.2836189617 4471724.017452554)",10
0,9,Undirected,2354,Babcock Boulevard,,10,,,,,,yes,Blue Belt,"[156458080, 156458075, 156458068]",FALSE,Babcock Boulevard,61.454,2,secondary,"LINESTRING (585541.0392804542 4484380.872272859, 585545.2870484509 4484372.527993615, 585551.5357848249 4484364.828319398, 585560.3094998383 4484356.413742515, 585568.5791385908 4484348.359760688, 585582.3214205003 4484336.005479905)",10
1,20,Undirected,2553,Penn-Lincoln Parkway East,,10,,,,,55 mph,yes,I 376;US 22,"[54511649, 54511642, 551184774]",TRUE,Penn-Lincoln Parkway East,443.217,3,motorway,"LINESTRING (596044.8855984132 4476665.173598832, 596069.8284091029 4476688.818785363, 596189.8126511382 4476795.339274417, 596207.3843101838 4476810.941245126, 596375.7499234995 4476960.429593193)",10
0,0,Undirected,2830,Ohio River Boulevard,,10,,,,,40 mph,yes,PA 65,"[330696752, 395478945, 459078925, 330696751]",FALSE,Ohio River Boulevard,568.685,4,trunk,"LINESTRING (579560.9314326025 4482739.704060668, 579566.282975346 4482732.212013169, 579571.9013772431 4482724.334258121, 579603.9037892126 4482679.891602477, 579620.0073278209 4482662.400636072, 579742.516777487 4482543.79923524, 579819.5839432622 4482472.661795545, 579831.5083913887 4482461.654320587, 579870.1210708611 4482427.074822239, 579910.5568435972 4482390.87198071, 579916.6415492889 4482385.419576408, 579965.4306392313 4482341.712893784)",10
0,0,Undirected,2853,Allegheny Valley Expressway,,10,,,,,,yes,PA 28,"[54581093, 54581094, 54581082, 54581048, 54581050, 54581085]",TRUE,Allegheny Valley Expressway,361.415,2,motorway,"LINESTRING (587393.2084417948 4481175.495607384, 587411.7415190039 4481210.249656828, 587426.629102226 4481239.920961723, 587436.7981331353 4481262.032367975, 587445.321687536 4481280.583098781, 587458.785482018 4481308.017485846, 587470.2699153856 4481324.193788561, 587481.9292390953 4481339.184269076, 587497.5705012552 4481358.007040755, 587511.8052770618 4481371.684385481, 587527.5628439913 4481384.902201876, 587559.3148253366 4481409.919687888, 587583.430274517 4481434.781287286, 587606.9089616193 4481460.434838396)",10
0,0,Undirected,2854,,,10,,,,,,yes,,"[54581057, 54581091, 54581092, 54581053]",TRUE,,210.559,,motorway_link,"LINESTRING (587393.2084417948 4481175.495607384, 587414.779368324 4481202.025458569, 587432.5845496596 4481227.234662779, 587452.4485464711 4481260.516746541, 587466.735095002 4481285.740416246, 587474.5386750414 4481301.329701074, 587478.788347134 4481313.446994524, 587479.8572114391 4481324.261493454, 587478.5355312346 4481333.615911364, 587476.0096538635 4481342.279041039, 587471.2609546458 4481349.639478017, 587465.15224712 4481356.584352816)",10
2,1,Undirected,2888,"['South 10th Street', 'South 10th Street Bridge']",,10,,,,,,yes,,"[11755429, 54309854, 11686535]",FALSE,"['South 10th Street', 'South 10th Street Bridge']",506.641,4,secondary,"LINESTRING (585786.6873520244 4475978.645549499, 585786.4669666472 4475983.816363825, 585784.2405337562 4476036.756526584, 585781.9938579748 4476054.415628213, 585778.1207840351 4476074.087701639, 585686.7298836686 4476452.327629659, 585685.7859929099 4476456.235694575, 585680.2527947661 4476472.014378274)",10
0,0,Undirected,2905,Allegheny Valley Expressway,,10,,,,,,yes,PA 28,"[54581095, 54581096, 54581097, 426169257, 54581076, 86497407]",TRUE,Allegheny Valley Expressway,658.265,2,motorway,"LINESTRING (587685.8117984727 4481577.98333168, 587651.800733365 4481531.712237482, 587631.7306897843 4481503.855910304, 587611.0325259522 4481477.502124067, 587596.0811618947 4481459.897266961, 587575.8869768108 4481438.989347155, 587553.0602955134 4481417.00710836, 587528.2708473817 4481396.844867223, 587499.7930144984 4481373.830825206, 587478.1602813217 4481354.105347708, 587465.2438285438 4481340.776536811, 587453.9181139222 4481329.15381221, 587441.5344634901 4481314.476861269, 587427.3272547078 4481296.969878561, 587417.1512578861 4481281.98572109, 587406.2508692346 4481265.871838846, 587396.521999079 4481249.61623659, 587374.5468781557 4481207.616988804, 587359.5103787947 4481181.962887052, 587340.6502695336 4481151.956702743, 587318.2586876634 4481122.342318823, 587275.1341658621 4481069.139158414)",10
0,0,Undirected,2922,Grant Avenue,,10,,,,,25 mph,yes,,"[109781305, 532953371, 109781310]",FALSE,Grant Avenue,170.217,2,tertiary,"LINESTRING (587361.2884979459 4481303.381181042, 587354.3384702789 4481308.329106999, 587341.6441097967 4481317.339814154, 587326.2056708693 4481328.305719022, 587306.10983586 4481342.459003504, 587295.5447241382 4481349.907088835, 587272.2606592544 4481366.310213887, 587246.9423769519 4481384.144010267, 587222.111376327 4481401.639417443)",10
0,25,Undirected,2923,Ohio River Boulevard,,10,,,,,40 mph,yes,US 19;PA 65,"[51189169, 511351994, 54358135]",TRUE,Ohio River Boulevard,562.005,3,motorway,"LINESTRING (582431.4824397995 4478353.078620567, 582358.5550373109 4478623.874101554, 582301.2812321801 4478836.548389956, 582285.5529559329 4478894.969192178)",10
21,92,Undirected,3024,I 279,,10,,,,,40 mph,yes,I 279,"[54215680, 121593801]",TRUE,,191.989,2,motorway,"LINESTRING (584059.0999050642 4477291.515664275, 584063.7932238062 4477334.342562286, 584064.0950181335 4477373.956238315, 584061.695434659 4477392.779719178, 584054.069015766 4477423.878350695, 584047.4702831286 4477452.590589769, 584041.0683851822 4477480.394717067)",10
24,1,Undirected,3096,,,10,,,,,,yes,,"[24956736, 24956732, 24956750]",TRUE,,272.982,1,motorway_link,"LINESTRING (584071.7097826389 4477285.717870468, 584076.0154933246 4477301.108526139, 584079.4070916694 4477313.302782141, 584084.8290884633 4477325.20899083, 584089.1246910535 4477331.673905486, 584094.6682199729 4477338.796723406, 584100.6012272349 4477345.224522052, 584108.3387674053 4477351.839112774, 584117.3500314989 4477357.568791991, 584125.9334960954 4477362.116914075, 584140.1485753218 4477368.204814143, 584184.2466473677 4477383.221155868, 584250.211962842 4477406.421313989, 584290.8354861087 4477421.887680328)",10
