Id,Label,timeset,d9,d8,d7,d6,d5,d2,d1,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,Cluter-ID,clustering,triangles,eigencentrality
104857958,104857958,,,,4477950.507773,579701.878506,POINT (579701.8785063553 4477950.507773416),104857958,-80.0601123,40.4483929,4,4,75,0.025392,0.029677,0.001067,3,0.000075,2,0,0,0,0.375372
104792424,104792424,,,,4478370.088212,587657.840824,POINT (587657.8408240543 4478370.08821163),104792424,-79.9662472,40.4513715,3,3,68,0.029309,0.033485,0.000122,8,0.000072,1,0,0,0,0.134022
104726892,104726892,,,,4478110.760891,596434.560342,POINT (596434.5603424984 4478110.760891124),104726892,-79.8628008,40.4480638,3,3,71,0.024727,0.028234,0.000378,46,0.000062,1,0,0,0,0.190703
104530285,104530285,,,traffic_signals,4479281.282575,590937.239894,POINT (590937.2398940135 4479281.282574841),104530285,-79.9274489,40.4592268,3,3,75,0.02616,0.031483,0.012869,54,0.000057,1,0,0,0,0.241491
104202604,104202604,,,,4469347.173643,591497.09364,POINT (591497.0936401098 4469347.173643325),104202604,-79.9222756,40.3696833,3,3,78,0.021091,0.024051,0.001367,67,0.000067,2,0,0.333333,1,0.162419
2324627825,2324627825,,,,4473006.033657,576683.697122,POINT (576683.6971222862 4473006.033657041),2324627825,-80.0962964,40.4041369,1,1,82,0.021275,0.023527,0,5,0.000028,3,0,0,0,0.074632
535036276,535036276,,,,4472324.379587,581795.92731,POINT (581795.9273103324 4472324.379586524),535036276,-80.0361451,40.3975101,3,3,75,0.025448,0.029586,0.000169,45,0.000057,2,0,0,0,0.246421
104202613,104202613,,,,4469272.521348,591506.749355,POINT (591506.7493548263 4469272.521347588),104202613,-79.9221726,40.3690098,3,3,79,0.020659,0.023455,0,67,0.000066,2,0,0.333333,1,0.170726
104726902,104726902,,,,4478028.352506,596437.326423,POINT (596437.3264227831 4478028.352506146),104726902,-79.8627807,40.4473212,3,3,70,0.025114,0.028656,0.001049,46,0.000062,1,0,0,0,0.18305
104530294,104530294,,,,4479317.86096,591027.480241,POINT (591027.4802410923 4479317.860960422),104530294,-79.9263795,40.4595464,3,3,76,0.025735,0.030954,0.012192,54,0.000057,1,0,0,0,0.228282
3640983934,3640983934,,,,4473591.477386,577083.266269,POINT (577083.2662685012 4473591.477386126),3640983934,-80.0915172,40.4093737,1,1,81,0.021797,0.024575,0,5,0.000032,3,0,0,0,0.049046
104530304,104530304,,,traffic_signals,4479365.040089,591140.299917,POINT (591140.2999174503 4479365.040088885),104530304,-79.9250423,40.459959,4,4,77,0.02539,0.030792,0.012047,54,0.000075,1,0,0,0,0.287007
104530307,104530307,,,,4479386.962901,591198.357691,POINT (591198.3576914156 4479386.962901494),104530307,-79.9243545,40.4601501,3,3,78,0.024887,0.030016,0.002648,54,0.000057,1,0,0,0,0.26992
104857988,104857988,,,,4478423.33545,580170.600084,POINT (580170.6000844587 4478423.335449673),104857988,-80.0545259,40.452607,3,12,69,0.029188,0.033765,0.03514,3,0.000065,2,0,0,0,0.19501
105185683,105185683,,,,4478028.945329,596405.766928,POINT (596405.7669276552 4478028.945329423),105185683,-79.8631527,40.4473302,3,3,71,0.024644,0.02817,0.000508,46,0.000063,1,0,0,0,0.202811
104858005,104858005,,,,4478391.969352,580113.124116,POINT (580113.1241155036 4478391.969351714),104858005,-80.0552076,40.45233,3,3,70,0.028406,0.032594,0.001922,3,0.000068,2,0,0,0,0.167729
105185689,105185689,,,,4478108.682641,596401.627638,POINT (596401.6276379355 4478108.68264134),105185689,-79.8631894,40.4480489,3,3,72,0.024268,0.027722,0.000133,46,0.000063,1,0,0,0,0.206426
105775515,105775515,,,,4476803.718173,581644.404435,POINT (581644.4044350369 4476803.718172837),105775515,-80.0373554,40.4378743,4,4,71,0.028271,0.032289,0.000433,29,0.000086,2,0,0.166667,1,0.236379
104858014,104858014,,,,4478364.14848,580099.564545,POINT (580099.5645447667 4478364.148479734),104858014,-80.055371,40.4520807,3,3,71,0.027717,0.031683,0.001462,3,0.000067,2,0,0.333333,1,0.159051
2324627877,2324627877,,,,4473170.119243,576859.281505,POINT (576859.2815048075 4473170.119242889),2324627877,-80.0942076,40.4055988,1,1,80,0.022244,0.024974,0,5,0.000026,3,0,0,0,0.087152
105775526,105775526,,,,4477227.083186,581013.630451,POINT (581013.6304512506 4477227.08318625),105775526,-80.0447377,40.4417496,3,3,74,0.026249,0.029941,0.000025,29,0.000062,2,0,0.333333,1,0.254333
104858024,104858024,,,,4478208.610944,580093.731463,POINT (580093.7314634088 4478208.610944347),104858024,-80.0554594,40.4506802,3,3,72,0.027022,0.030699,0.000121,3,0.000072,2,0,0.333333,1,0.129058
105775532,105775532,,,,4477266.86941,580981.690063,POINT (580981.6900631983 4477266.869409542),105775532,-80.0451092,40.4421111,4,4,74,0.026312,0.03035,0.000194,29,0.00008,2,0,0,0,0.29039
