id,osm_node_i,lat,lon,modularity,wprdc_hood,hood_no
18355,104685380,40.4568114,-80.0155801,4,California-Kirkbride,15
18585,106052273,40.457472,-80.0063061,4,Central Northside,19
18786,106067031,40.4623262,-80.008836,4,Perry South,62
18793,106068908,40.4743495,-80.0094407,4,Perry South,62
18794,1252520653,40.4607419,-80.0252643,4,California-Kirkbride,15
18795,105253568,40.4604322,-80.0268496,4,Manchester,49
18824,3809311403,40.4588757,-80.007703,4,Central Northside,19
18825,104450525,40.460131,-80.0017726,4,Fineview,33
18868,106074198,40.4566356,-80.0070103,4,Central Northside,19
18869,106052264,40.4568096,-80.0060882,4,Central Northside,19
18943,5002329321,40.473356,-80.0155818,4,Perry South,62
18944,106086249,40.4734154,-80.0134927,4,Perry South,62
18945,106086241,40.47346,-80.0119227,4,Perry South,62
19176,106101174,40.4613225,-80.005785,4,Fineview,33
19294,106111342,40.465315,-80.0198788,4,Perry South,62
19320,105066227,40.4717936,-80.0081211,4,Perry South,62
19321,105729196,40.4714609,-80.0089252,4,Perry South,62
19513,106125815,40.4858035,-80.0145721,4,Perry North,61
19601,105158436,40.4684039,-80.020231,4,Perry South,62
19807,104911793,40.4645224,-80.0179888,4,Perry South,62
19879,656071230,40.4552861,-80.0076079,4,Central Northside,19
20318,105253495,40.45965,-80.0170523,4,California-Kirkbride,15
20653,107513206,40.4595989,-80.0215469,4,California-Kirkbride,15
20767,107523360,40.4600078,-80.0192154,4,California-Kirkbride,15
20768,107523368,40.4598058,-80.0203885,4,California-Kirkbride,15
20852,106039581,40.4561037,-80.0153543,4,California-Kirkbride,15
20853,106032895,40.4558936,-80.0165096,4,California-Kirkbride,15
21009,104726083,40.4705102,-80.0112189,4,Perry South,62
21012,104620009,40.4584339,-80.0118105,4,Central Northside,19
21013,107543234,40.4591956,-80.0120705,4,Central Northside,19
21063,5002328890,40.4743188,-80.0104368,4,Perry South,62
21064,107547593,40.4741401,-80.0170791,4,Perry South,62
21065,5002328913,40.4741383,-80.0151301,4,Perry South,62
21085,105729191,40.4695274,-80.0084127,4,Perry South,62
21277,105253573,40.4611835,-80.0288062,4,Manchester,49
21285,105253518,40.4592813,-80.018979,4,California-Kirkbride,15
21290,105729202,40.4716655,-80.0096408,4,Perry South,62
21313,3627548945,40.4611558,-80.023378,4,California-Kirkbride,15
21753,105823035,40.4639666,-80.0061789,4,Fineview,33
