id,label,timeset,osm_node_id,lat,lon,osm_label,neighborhood,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,componentnumber,strongcompnum
11408,105171312,,105171312,40.4202627,-79.8489668,,,1,3,4,1.0,3.0,4.0,2.0,0.7142857142857143,0.8,3.5,0.0,0.0,25,0,24347
11409,104697084,,104697084,40.4206167,-79.8491984,,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,24346
11410,105171358,,105171358,40.4183252,-80.0979877,,,0,1,1,0.0,1.0,1.0,5.0,0.3333333333333333,0.41111111111111115,0.0,0.0,0.0,56,0,24354
11411,105171364,,105171364,40.4179746,-80.0975694,,,1,2,3,1.0,2.0,3.0,4.0,0.4444444444444444,0.5520833333333334,8.0,0.0,0.0,56,0,24353
11412,105219380,,105219380,40.4157416,-80.093714,,,1,2,3,1.0,2.0,3.0,3.0,0.5,0.5952380952380951,10.0,0.0,0.0,56,0,24352
11413,105171504,,105171504,40.5240974,-79.8036216,,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,19559
11414,105171646,,105171646,40.4845236,-79.9336207,,Stanton Heights,2,1,3,2.0,1.0,3.0,1.0,1.0,1.0,14.0,0.0,0.0,27,0,1358
11415,105171703,,105171703,40.4470089,-79.8694596,,,0,1,1,0.0,1.0,1.0,5.0,0.3181818181818182,0.4261904761904762,0.0,0.0,0.0,43,0,24355
11416,105038927,,105038927,40.4472535,-79.8697444,,,2,2,4,2.0,2.0,4.0,4.0,0.4,0.5555555555555555,13.0,0.0,0.0,43,0,23010
11417,105171712,,105171712,40.4478099,-79.8704896,,,2,1,3,2.0,1.0,3.0,3.0,0.4444444444444444,0.5416666666666666,16.0,0.0,0.0,43,0,23009
11418,105172046,,105172046,40.4704775,-79.9334654,,Garfield,0,1,1,0.0,1.0,1.0,2.0,0.6666666666666666,0.75,0.0,0.0,0.0,57,0,24356
