source,target,id,osm_way_id,osm_bridge_relation_id,osm_bridge,osm_highway,osm_label,bridge_id,distance,within_boundaries
1163,1164,300,11687731,,,,Parkview Avenue,,28.6755681,TRUE
1164,1165,301,11687731,,,,Parkview Avenue,,155.4952216,TRUE
1168,1169,302,11687739,,,,Parkview Avenue,,139.5600581,FALSE
1170,1171,303,11687744,,,,Wills Street,,83.35696489,TRUE
1171,1172,304,11687744,,,,Wills Street,,76.59967134,TRUE
1177,1178,305,11687792,,,,Hilda Street,,42.06494299,FALSE
1191,1192,306,11687849,,,,Thayer Street,,91.20437003,TRUE
1192,1193,307,11687849,,,,Thayer Street,,46.58542148,TRUE
1198,1199,308,11687894,,,,Arrowood Drive,,297.2712068,FALSE
1200,1201,309,11687973,,,,Republic Street,,19.46123731,TRUE
1203,1204,310,11687976,,,,Fisher Street,,132.2992902,TRUE
1207,1208,311,11687984,,,,Monroeville Avenue,,81.60581783,FALSE
1208,1209,312,11687984,,,,Monroeville Avenue,,74.94621095,FALSE
1211,1212,313,11687997,,,,Monroeville Avenue,,48.83529381,FALSE
1212,1213,314,11687997,,,,Monroeville Avenue,,44.29422016,FALSE
1216,1217,315,11688002,,,,Monroeville Avenue,,11.50348418,FALSE
1220,1221,316,11688015,,,,Denny Estates,,175.9075745,FALSE
1222,1223,317,11688022,,,,East Oliver Road,,80.55654306,FALSE
1229,1230,318,11688062,,,,Boyd Avenue,,42.58764963,FALSE
1247,1248,319,11688104,,,,Lawnwood Avenue,,80.91178339,FALSE
1249,1250,320,11688118,,,,Mc Cleary Street,,80.67655626,FALSE
949,1251,321,11688118,,,,Mc Cleary Street,,82.44332895,FALSE
1250,1251,322,11688118,,,,Mc Cleary Street,,78.97484726,FALSE
949,1252,323,11688118,,,,Mc Cleary Street,,46.56575511,FALSE
1252,1253,324,11688118,,,,Mc Cleary Street,,58.30557475,FALSE
1257,1258,325,11688139,,,,Love Street,,59.80546586,FALSE
671,1259,326,11688141,,,,Love Street,,191.2202284,TRUE
1266,1267,327,11688212,,,,Nimick Place,,73.1408262,TRUE
1274,1275,328,11688244,,,,Kansas Avenue,,127.7017043,FALSE
1275,1276,329,11688244,,,,Kansas Avenue,,182.2573628,FALSE
1277,1278,330,11688244,,,,Kansas Avenue,,247.7933086,FALSE
1278,1279,331,11688244,,,,Kansas Avenue,,151.9847549,FALSE
1279,1280,332,11688244,,,,Kansas Avenue,,151.8946116,FALSE
1280,1281,333,11688244,,,,Kansas Avenue,,149.8678951,FALSE
1281,1282,334,11688244,,,,Kansas Avenue,,131.6174181,FALSE
1282,1283,335,11688244,,,,Kansas Avenue,,178.0413325,FALSE
