node_index,bridge_id,direction
95702,9228920,from
95702,9228920,to
95703,9228920,from
95703,9228920,to
95704,4122219,to
95737,4122219,from
95738,4122219,from
95738,4122219,to
95739,4122219,to
95744,9247954,from
95745,4122219,from
95746,4122219,from
95746,4122219,to
95747,4122219,from
95747,4122219,to
95884,54507812,from
95884,54507812,to
95898,9247954,to
95901,9247954,from
95902,9247954,from
95902,9247954,to
95903,9247954,from
95903,9247954,to
95904,9247954,from
95904,9247954,to
95905,9247954,from
95905,9247954,to
95906,9247954,from
95906,9247954,to
95920,9247976,from
95921,9247976,from
95921,9247976,to
95922,9247976,to
95923,9247976,from
95924,9247976,from
95924,9247976,to
95925,9247976,to
95926,9247954,to
95947,9247954,from
95947,9247954,to
95948,9247954,from
95948,9247954,to
95949,9247954,from
95949,9247954,to
95950,9247954,from
95950,9247954,to
96045,9058591,from
96046,9058591,from
96046,9058591,to
96047,9058591,from
96047,9058591,to
96048,9058591,to
96050,9058546,from
96051,9058546,from
96051,9058546,to
96052,9058546,to
96057,9058591,from
96058,9058546,from
96059,9058546,from
96059,9058546,to
96060,9058546,to
96081,7131787,to
96092,7131787,from
96093,7131787,from
96093,7131787,to
96095,9058591,from
96095,9058591,to
96096,9058591,from
96096,9058591,to
96097,9058591,to
96125,7131787,from
96128,7131787,to
97126,9219376,from
97126,9219376,to
97390,54581124,from
97390,54581124,to
97391,54581124,from
97391,54581124,from
97391,54581124,to
97391,54581124,to
97392,54581125,from
97392,54581125,to
97393,54581125,from
97393,54581125,from
97393,54581125,to
97393,54581125,to
97394,54581125,from
97394,54581125,to
97582,4245927,to
97684,4245927,from
97684,4245927,to
97687,4245927,from
97688,4245927,from
97688,4245927,to
97689,4245927,to
97793,9228991,from
98147,9228991,to
98201,9228991,from
98202,9228991,to
98356,54583031,from
98356,54583031,to
99080,3903718,from
99080,3903718,to
99113,9229286,to
99114,9229286,from
99115,9229286,from
99115,9229286,to
99116,9229286,to
99119,9229286,from
99120,9229286,from
99120,9229286,to
99127,9229274,to
99141,9229274,from
99152,3903718,from
99161,3903718,from
99161,3903718,to
99162,3903718,to
99168,3903718,from
99168,3903718,to
99181,3903718,from
99181,3903718,to
99182,3903718,from
99182,3903718,to
99183,3903718,from
99183,3903718,to
99184,3903718,from
99184,3903718,to
99185,3903718,from
99185,3903718,to
99186,3903718,to
99196,9229254,to
99198,9229254,from
99199,9229254,from
99199,9229254,to
99200,9229254,from
99200,9229254,to
99201,9229254,from
99201,9229254,to
99202,9229254,from
99202,9229254,to
99216,307771790,from
99216,307771790,to
99227,9229254,from
99228,9229254,from
99228,9229254,to
99229,9229254,from
99229,9229254,to
99230,9229254,from
99230,9229254,to
99231,9229254,from
99231,9229254,to
99232,9229254,from
99232,9229254,to
99233,9229254,from
99233,9229254,to
99234,9229254,to
99265,54685356,from
99266,54688669,to
99281,54688669,from
99281,54685356,to
99341,307763102,from
99341,307763102,to
99542,9219296,from
99542,9219296,to
99602,9219298,from
99602,9219298,to
99603,9219298,from
99603,9219298,to
99604,9219299,from
99604,9219299,to
100031,9229359,from
100147,9219411,from
100147,9219411,from
100147,9219411,to
100147,9219411,to
100169,9219409,from
100169,9219409,to
100310,55189317,from
100310,379692607,from
100310,55189326,from
100310,374188428,from
100310,55189326,to
100310,374188428,to
100310,55189317,to
100310,379692607,to
100311,55189317,from
100311,55189317,to
100312,9233488,from
